id;create_date;update_date;title;slogan;description;dinner_date;home_page;latitude;longitude;address;costmin;costmax
1;2021-04-12T20:44:00;2021-04-12T23:41:57;deposit Plastic Focused;Berkshire Cotton;directional;2021-04-13;"i2.d.b.spu";Marketing capacitor;protocol Centralized;Small Baby sensor;63045;5040
2;2021-04-12T17:37:57;2021-04-12T18:56:28;Loan Directives Computer;black;Technician copying;2021-04-13;"https://o.1d7w.ns.dcFA6nctv";Oklahoma Guinea Metal;digital Car Salad;back;30271;41273
3;2021-04-12T17:03:24;2021-04-13T13:31:26;morph Louisiana;payment Response;Clothing Facilitator Pants;2021-04-13;"https://pft.wt";XML infomediaries Metrics;Latvian B2C e-markets;killer Down-sized back;87159;56013
4;2021-04-13T16:32:54;2021-04-13T04:51:10;complexity;Planner;Account primary circuit;2021-04-12;"of.g..vK5Fg/";tan 60 calculate;Engineer;Guinea Plastic;5241;11135
5;2021-04-13T15:26:11;2021-04-13T00:44:11;Handcrafted Virginia;Seamless Agent;invoice bluetooth;2021-04-13;"https://s8c.wthzyaS";Angola Chicken;olive;Tanzania deploy;10360;11520
6;2021-04-13T09:05:10;2021-04-13T13:56:47;monitor pixel Lakes;Chief Data;Program asymmetric;2021-04-12;"https://xcoi.drfAlemwlUMd q/";Loan;model Fresh;haptic;37508;67875
7;2021-04-13T14:25:05;2021-04-12T21:16:17;payment compressing;bluetooth Adaptive Chair;Plastic parsing customer;2021-04-12;"http://.6.ldl";productivity;bypass toolset Ergonomic;synergies;19295;35305
8;2021-04-12T17:02:13;2021-04-13T07:23:19;Luxembourg functionalities tan;auxiliary Trace;Unbranded bandwidth;2021-04-13;"http://jqzst.z.oqebaqdNkAU/hXaM26uB/";action-items Bolivar haptic;Implementation invoice;Unbranded interfaces;42478;55253
9;2021-04-13T11:04:27;2021-04-13T09:22:38;Mobility York;Rubber distributed;Loan;2021-04-13;"https://oay7.emoaog18/";National Steel;Dinar United Tasty;deploy B2B Central;18402;31512
10;2021-04-13T15:05:46;2021-04-12T22:20:34;indigo;calculate capacitor black;Internal content;2021-04-13;"http://thw1w4.qcvu";bandwidth mission-critical Rustic;utilize Supervisor;Central Infrastructure;56591;38305
